Estacion_Id,Pfb_Fecha,Lod_Latitud_F5,Lod_Longitud_F5,Lod_Cota,Conductividad,18O,2H,d-excess
G001,01-sep-05,5782169,5609931,90.87837886,877,-5.40,-36.00,7.20
G008,22-feb-10,5769784.062,5581365.127,96.32694508,1027,-5.47,-30.39,13.36
G009,23-feb-10,5804182,5595763,160.6476983,,-5.00,-28.64,11.35
G010,22-feb-10,5773259.986,5584639.567,91.85529903,1179,-5.38,-28.45,14.61
G014,15-dic-11,5753988,5613800,42.3082511,1175,-5.34,-28.33,14.38
G020,16-dic-11,5774058.55,5570202.5,97.69923302,3150,-5.15,-28.65,12.51
G020,23-feb-05,5774058.55,5570202.5,97.69923302,2710,-5.00,-37.00,3.00
G020,28-sep-06,5774058.55,5570202.5,97.69923302,2001,-5.00,-34.00,6.00
G020,28-ene-08,5774058.55,5570202.5,97.69923302,2792,-4.80,-30.80,7.60
G020,18-nov-10,5774058.55,5570202.5,97.69923302,,-4.79,-28.66,9.63
G020,07-jun-06,5774058.55,5570202.5,97.69923302,3040,-4.70,-32.00,5.60
G020,04-ago-05,5774058.55,5570202.5,97.69923302,2120,-4.50,-34.00,2.00
G020,05-ago-05,5774058.55,5570202.5,97.69923302,,-4.50,-34.00,2.00
G023,29-oct-09,5761234,5580677,92.64764982,,-5.16,-27.93,13.37
G026,17-ago-06,5741496.59,5603169.02,30.01473905,780,-5.30,-30.00,12.40
G026,23-feb-05,5741496.59,5603169.02,30.01473905,789,-5.10,-35.00,5.80
G026,23-mar-06,5741496.59,5603169.02,30.01473905,775,-5.10,-32.00,8.80
G026,04-ago-05,5741496.59,5603169.02,30.01473905,747,-4.80,-36.00,2.40
G044,23-feb-05,5804903.78,5539171.52,168.1538774,,-5.40,-38.00,5.20
G044,25-feb-05,5804903.78,5539171.52,168.1538774,1255,-5.40,-38.00,5.20
G044,04-ago-05,5804903.78,5539171.52,168.1538774,1215,-5.20,-35.00,6.60
G071,06-dic-05,5817609.84,5602688.73,175.5125703,720,-5.90,-35.00,12.20
G071,07-jun-06,5817609.84,5602688.73,175.5125703,882,-5.90,-34.00,13.20
G071,17-ago-06,5817609.84,5602688.73,175.5125703,870,-5.70,-35.00,10.60
G071,23-feb-05,5817609.84,5602688.73,175.5125703,,-5.40,-36.00,7.20
G071,25-feb-05,5817609.84,5602688.73,175.5125703,753,-5.40,-36.00,7.20
G071,01-sep-05,5817609.84,5602688.73,175.5125703,778,-5.30,-36.00,6.40
G072,25-feb-10,5768072.88,5576700.9,78.3302764,975,-5.65,-31.30,13.88
G072,14-abr-05,5768072.88,5576700.9,78.3302764,791,-5.50,-37.00,7.00
G072,25-ene-07,5768072.88,5576700.9,78.3302764,,-5.40,-33.00,10.20
G072,04-ago-05,5768072.88,5576700.9,78.3302764,823,-5.30,-37.00,5.40
G073,17-ago-06,5742922,5608201,16.31809377,1180,-5.70,-35.00,10.60
G073,22-mar-06,5742922,5608201,16.31809377,980,-5.40,-33.00,10.20
G073,14-sep-06,5742922,5608201,16.31809377,1125,-5.40,-37.00,6.20
G073,19-oct-06,5742922,5608201,16.31809377,1290,-5.30,-33.00,9.40
G073,29-oct-03,5742922,5608201,16.31809377,,-5.26,-30.71,11.41
G073,07-mar-07,5742922,5608201,16.31809377,1282,-5.20,-30.00,11.60
G073,03-jul-07,5742922,5608201,16.31809377,,-5.20,-30.00,11.60
G073,28-ene-08,5742922,5608201,16.31809377,1342,-5.19,-30.43,11.12
G073,25-ene-07,5742922,5608201,16.31809377,1180,-5.10,-32.00,8.80
G073,11-sep-06,5742922,5608201,16.31809377,,-5.00,-33.00,7.00
G073,09-nov-06,5742922,5608201,16.31809377,1160,-5.00,-33.00,7.00
G073,04-ago-05,5742922,5608201,16.31809377,1117,-4.90,-34.00,5.20
G074,14-abr-05,5817581,5560390,183.1789583,724,-5.40,-35.00,8.20
G074,04-ago-05,5817581,5560390,183.1789583,721,-5.20,-36.00,5.60
G075,04-ago-05,5807344.68,5562751.28,157.9369061,952,-5.30,-36.00,6.40
